Name,Background,Discussion,Low Standard Conventional,High Standard Conventional,Low Standard International,High Standard International,Low Optimal Conventional,High Optimal Conventional,Low Optimal International,High Optimal International,Standard Unit,International Units,Clinical Implications Low,Clinical Implications High,Other Condtions Low,Other Condtions High,Interfering Factors Falsely Elevated,Interfering Factors Falsely Decreased,Drug Tests,Drug Causes of Decreased Levels,Drug Causes of Increased Levels
Phosphorus,"Phosphorous levels, like calcium, are regulated by parathyroid hormone (PTH). Phosphate levels are closely tied with calcium,
but they are not as strictly controlled as calcium. Plasma levels may be decreased after a high carbohydrate meal or in people
with a diet high in refined carbohydrates. Serum phosphorous is a general marker for digestion. Decreased phosphorous levels
are associated with hypochlorhydria. Serum levels of phosphorous may be increased with a high phosphate consumption in
the diet, and with parathyroid hypofunction and renal insufficiency.","The majority (85%) of the body’s phosphorous is stored, in combination with calcium, in the bone. The remainder of the
phosphorous is within the cells. Phosphorous in the blood exists as primarily inorganic phosphate in the form of HPO42- or
H2P04-, with the majority in the HPO42- form, or as phosphate esters. It is difficult to determine the exact ratio between the
two ionic forms of phosphorous, which is expressed as the total quantity of phosphorous.

Phosphorous is essential for bone matrix and hydroxyappetite metabolism. Phosphates play an important role in phospholipid
and nucleic acid formation. It functions in the metabolism of glucose and lipids, is an important part of acid-base regulation
and the storage and transfer of energy in the form of Adenosine Tri-Phosphate (ATP) and creatine phosphate.

Produced by the parathyroid gland, PTH is a very important hormone in phosphorous regulation. PTH promotes

bone resorption of phosphorous, it has a very strong effect on the kidney causing excessive renal phosphate excretion, and
enhances the absorption of phosphorous from the intestine through its effect on vitamin D. The net effect of PTH is to
decrease serum phosphorous.

On the cellular level, phosphate crosses the cell membrane with glucose. Plasma levels may be decreased after a high
carbohydrate meal.

Phosphorous levels should always be evaluated in relation to calcium because of the inverse relationship that exists between
the two minerals. Phosphorous levels will be increased when calcium levels are decreased. When calcium levels increase,
phosphorous levels will decrease. An excess in one of the minerals will cause an increase in renal excretion of the other.

Phosphorus is often assumed to be a calcium antagonist. This may be true in its supplemental form but organic phosphorous
from whole and unrefined foods is naturally buffered with minerals and vitamins that act as synergistic co-factors to increase
calcium metabolism.
Common subjective indications of phosphorous need are:

e Joint stiffness upon arising

e Cold hands and feet

e Joint soreness/stiffness after inactivity (sitting for over 30 minutes) that is improved with movement.",2.5,4.5,0.81,1.45,2.6,3.5,0.84,1.13,mg/dL,mmol/L,"Parathyroid Hyperfunction

Parathyroid hyperfunction will cause an increase in PTH levels, which can lead to a decreased serum phosphorous. If the serum
phosphorous is decreased and the calcium is significantly increasedparathyroid hyperfunction is possible. Alkaline
phosphatase levels may also be increased, along with a normal or decreased serum or RBC magnesium. Follow up with a
serum parathyroid hormone test. If parathyroid hormone levels are also increased presume clinical hyperparathyroidism exists.
Hyperparathyroidism may be due to space-occupying lesions on one or more of the glands. Surgical removal may be
necessary to determine if there is a neoplasm. A patient with increased serum calcium and an increased PTH should be
checked by an endocrinologist, as hyperparathyroidism is a serious condition.

Hypochlorhydria

A decreased serum phosphorous is associated with a decreased production of hydrochloric acid in the stomach
(hypochtorhydria). Hypochlorhydria is possible with a decreased serum phosphorous and an increased globulin level and a
normal or decreased total protein. If the BUN is also increased, hypochiorhydria is highly probable.

Other values that may be reflective of a developing or chronic hypochlorhydria include increased or decreased gastrin, an
increased MCV and MCH , a decreased or normal calcium and iron, a decreased chloride, and a decreased alkaline
phosphatase.

Hyperinsulinism

Phosphate crosses the cell membrane with glucose. Hyperinsulinism, therefore, will cause an increased uptake of glucose by
the cells and will also increase phosphorous uptake, possibly contributing to a decreased serum phosphorous level.

Diet- high in refined carbohydrates

Phosphate crosses the cell membrane with glucose. Plasma levels may be decreased after a meal high in refined
carbohydrates. A diet high in refined carbohydrates and sugars will deplete phosphorous stores and other important co-
factors for carbohydrate metabolism.","Parathyroid Hypofunction

Parathyroid hypofunction will lead to decreased PTH levels that can cause increase serum phosphorous. If phosphorous is
increased along with decreased calcium, parathyroid hypofunction is possible. Alkaline phosphatase levels may also be normal
or decreased.

Follow up with a serum parathyroid hormone test. If parathyroid hormone levels are also decreased presume clinical
hypoparathyroidism exists.

Bone Growth (Children) And Bone Repair (Fractures)

An increased phosphorous is a normal finding in times of increased bone growth and bone repair. Serum phosphorous will
often be elevated with children up to 18 years of age due to increased bone growth. Similar increases may be seen during bone
repair (fractures).

Diet- excessive phosphate consumption

Serum phosphorous levels may be increased in people who drink a lot of soda pop. Phosphoric acid is a common additive in
sodas and can lead to excessive levels of ingested phosphorous that can cause significant problems with the
calcium/phosphorous ratio, leading to decreased serum calcium.

Renal Insufficiency

An increased phosphorous level can be a sign of renal insufficiency. Renal insufficiency is an often over-looked condition.
Suspect renal insufficiency if there is an increased serum phosphorous, an increased BUN level with a normal or increased
serum creatinine and a normal to increased uric acid. LDH and AST will usually be normal.","© Ovarian hypofunction
© Vitamin D anemia

© Protein malnutrition
© Diabetes

© Liver dysfunction","© Edema

© Renal dysfunction

© Ovarian hyperfunction

© Excess intake of vitamin D
© Sarcoidosis

© Bone Neoplasm

© Diabetes

© Liver dysfunction

© Portal Cirrhosis

© Excessive intake of antacids","© Laxatives or enemas containing sodium
phosphate

© Hemolysis of blood- separate serum from
cells as soon as possible","After a high carbohydrate meal- phosphorous enters the cell with
glucose- can cause decreased serum levels",,,
Platelet : Lymphocyte (PLR),"The Platelet: Lymphocyte Ratio (PLR) is an indicator of a pro-thrombotic inflammatory state and is a significant marker in
evaluating systemic inflammation, cardiovascular risks, and the prognosis of various cancers. An elevated PLR has been linked
with an array of adverse health conditions including severe coronary atherosclerosis, heart failure, and malignancy. signifying a
higher inflammatory state and increased risks of adverse events in these conditions. Values above certain thresholds (varying
in different studies) indicate higher risk and severity of disease. However, PLR is not a standalone diagnostic marker and
should be considered alongside other inflammatory markers and associated conditions for a comprehensive evaluation.",,0,150,0,150,0,128,0,128,Ratio,Ratio,"Thrombocytopenia
A low PLR may be due to thrombocytopenia (low blood platelets).","Atherosclerosis severity

An elevated PLR is associated with more severe, advanced atherosclerosis and a higher Gensini score, a score that reflects the
extent and severity of atherosclerosis.

Bipolar disorder

A higher PLR, suggestive of inflammatory activation, is associated with bipolar disorder, especially during the manic phase.
Cancer prognosis

A higher PLR is associated with a poorer cancer prognosis, including in cases of breast, ovarian, cervical, and prostate cancers.
Cardiovascular disease and complications

Increased PLR is associated with cardiovascular disease, the degree of atherosclerosis, and the relative risk of major adverse
cardiac events (MACE), associated mortality, and acute coronary syndrome.

Heart failure

Increased PLR is associated with worsening heart failure, especially in conjunction with other inflammatory indicators such as
the neutrophil:lymphocyte count.

Inflammation and thrombosis

An elevated ratio of platelets to lymphocytes suggests a thrombotic, pro-inflammatory state characterized by an increase in
platelets, especially activated platelets, and a decrease in lymphocytes, which are destroyed by inflammation. Elevated PLR is
often associated with other inflammatory markers including NLR, CRP. and fibrinogen.

Rheumatoid arthritis

A significantly higher PLR has been associated with rheumatoid arthritis, an inherently inflammatory disorder.

Stroke

Elevated PLR is associated with acute ischemic stroke and increased risk of unfavorable outcomes.",,,,,,,
Platelets,"Platelets or thrombocytes are the smallest of the formed elements in the blood. Platelets are necessary for blood clotting,
vascular integrity, and vasoconstriction. They form a platelet plug, which plugs up breaks in small vessels. Increased platelets
may be seen with atherosclerosis. Decreased levels are associated with oxidative stress, heavy metal body burden and
infections.","Platelet production is under the control of thrombopoietin. Platelets have a life-span between 8-10 days. Two-thirds of the
platelets are found in circulating blood, the remaining one third is in the spleen.

It is important to ask your patients about their use of drugs or supplements that are known to decrease platelet production
before beginning therapy to increase their platelet count.",140,400,140,400x10,190,300,190,300x10,10E3/uL,9/L,"Infections
Some viral, rickettsial, and bacterial infections can cause a decreased platelet count.

Idiopathic Thrombocytopenia
A hemorrhagic disease that is often triggered by a viral disease in children and has symptoms of purpura, increased platetet
destruction, petechiae, mucosal bleeding, and thrombocytopenia. This is not something that you are likely to see in general
practice.

Heavy metals
Blood platelets may be low when the body is dealing with an increased heavy metal load. Check for decreased MCH, MCHC,
and LDH Isoenzyme #5. If either is decreased, along with a decreased platelet count, suspect a heavy metal body burden and
consider hair analysis or toxic element testing via blood or urine.

Oxidative Stress and Free Radical Activity
Suspect excess free radical activity and oxidative stress if the platelet level is decreased. If the platelet level is decreased along
with a total cholesterol level that is suddenly below its historical and a decreased lymphocyte count, a decreased albumin, and
an increased total globulin and uric acid level, free radical pathology, increases the risk of developing a neoplasm, should be
investigated.

Purpura and petechiae
The platelet count may be low in these conditions. People who bruise easily often have low vascular and capillary integrity. A
low platelet count can exacerbate such a condition.","Atherosclerosis

Platelet count may be high due to the platelet involvement in the plaque formation. People with atherosclerosis and
atherosclerosis are often told they have “thick” blood and are advised by their medical doctors to take a baby aspirin to “thin”
the blood. Atherosclerosis is probable if the platelet is increased along with an increased uric acid level, an increased
triglyceride in relation to total cholesterol, a decreased HDL, and an increased LDL. C-reactive protein may also be elevated
along with elevated homocysteine and elevated fibrinogen.","e Neoplasm (especially leukemia)

e Liver dysfunction

e Several types of anemia (check RBC, HGB, HCT, MCV, MCH and
serum iron or ferritin)

e Sleep/wake cycle interruptions

e Circadian rhythm dysfunction

e  Alcoholism

e  Deficiency of B12, folate, selenium, and/or iron

e Excessive B3 supplementation","e Malignancies and chronic leukemias

e Polycythemia

e Inflammation: Inflammatory arthritis, acute
infections

e Several types of anemia

e Oral contraceptives

e Acute blood loss

e Excessive antioxidant stress","e High altitudes

e After strenuous exercise

e Excitement

e In winter",Normally decreased before menstruation,,"¢ Quinidine

e Heparin

¢ Gold salts

¢ Sulfas

¢ Digitoxin due to bone marrow suppression",
Potassium,"Potassium is one of the main electrolytes in the body. Due to the critical functions of potassium for human metabolism and
physiology, it is essential for the body to maintain optimal serum levels even though a small concentration is found outside of
the cell. Potassium levels should always be viewed in relation to the other electrolytes. Potassium concentration is greatly
influenced by adrenal hormones. As such, potassium levels can be a marker for adrenal dysfunction.","Potassium is the main intracellular cation and acts as the primary intracetlular pH buffer. The majority of potassium (90%) is
found inside the cell, with only small amounts found in other tissues, such as bone and blood. Intracellular potassium
concentration can be as much as 15 to 20 times greater than the serum/plasma.

Potassium plays an essential role in nerve conduction, the maintenance of osmotic pressure, muscle function, cellular transport
via the sodium-potassium pump, and acid-base balance. Potassium, along with calcium and magnesium, controls the rate and
force of cardiac muscle contraction and thus controls the cardiac output.

Potassium, along with sodium, plays an important role in the kidney’s regulation of pH. Potassium bicarbonate is the major
intracellular inorganic buffer. When the body is deficient in potassium, intracellular acidosis occurs. The body responds by
acting on the respiratory center to increase the respiration rate and depth of breathing. This increases carbon dioxide
excretion and brings the body back into pH balance.

Potassium excretion is controlled primarily by the kidney. Between 80 - 90% of cellular potassium is excreted from the

kidney in the urine, the remainder is excreted in the sweat and stool. The kidney does not conserve potassium and will
continue to excrete potassium, even when an adequate amount of potassium is not consumed. Thus, potassium deficiency can
occur if adequate amounts of potassium are not consumed on a daily basis. As the chief cation found in the intracellular fluid,
potassium levels will increase with cellular damage, which causes the potassium to leach into the extracellular fluid.
Aldosterone, which is the main adrenal hormone regulator for potassium levels in the body, causes increased excretion of
potassium from the urine. As such, potassium levets can be a marker for adrenal dysfunction.

Common subjective indications of potassium need are:
1. Muscle weakness
2. Fatigue
3. Mental confusion
4. Heart disturbances
5. Problems in nerve conduction",3.5,5.3,3.5,5.3,4,5,4,5,mEq/L,mmol/L,"Adrenal Stress
Adrenal stress causes an increase in the secretions of both the glucocorticoid and mineralcorticoid hormones. An increase in
aldosterone, the major mineralcorticoid, from adrenal hyperfunction has an impact on potassium metabolism. Increased
aldosterone levels will cause an increase in the amount of renal potassium excretion, which will cause a decrease in serum
potassium. If the potassium levels are decreased along with a normal or increased sodium, and/or chloride, adrenal stress is
possible. The sodium:potassium ratio will also be increased. Other values that may be out of balance include increased
aldosterone and cortisol levels. if the cortisol level is significantly elevated, rule out adrenal adenoma. Urinary chloride will be
decreased. Adrenal stress can be confirmed with salivary cortisol studies.

Drug Diuretics
Many of the diuretic drugs are potassium sparing. Even so, serum potassium can be decreased with the use of these drugs. In
these cases the BUN and creatinine will frequently be increased, indicating renal insufficiency, and sodium will be decreased.
On the other hand, it is important to not presume that a patient needs potassium because they are on a drug diuretic.
Prolonged diuretic use may also deplete thiamine.

Benign Essential Hypertension
Benign Essentiat Hypertension is common with decreased potassium, even when cortisol, renin and other indicators may be
normal. Generally, increased potassium suggests a congestive heart problem, and decreased potassium suggests a fatigued
heart muscle. HTN has many potential causes and should be investigated with other methodologies beyond blood chemistries.","Adrenal Fatigue and Adrenal Insufficiency
Adrenal fatigue and adrenal insufficiency causes a decrease in the secretions of both the glucocorticoid and mineralcorticoid
hormones. A decrease in aldosterone, the major mineralcorticoid, from adrenal fatigue and adrenal insufficiency has an impact
on potassium metabolism. Decreased aldosterone levels will cause a decrease in the amount of renal potassium excretion,
which will cause an increase in serum potassium. If the potassium levels are increased along with a normal or decreased
sodium and/or chloride, adrenal fatigue and adrenal insufficiency is possible. The sodium:potassium ratio will also be
decreased. Other values that may be out of balance include decreased aldosterone and cortisol levels. Urinary chioride will be
increased. Adrenal fatigue and adrenal insufficiency can be confirmed with salivary cortisol studies.

Dehydration
If potassium is increased suspect dehydration. Dehydration is a very common problem and should be factored into your blood
chemistry and CBC analysis. Suspect a short-term (acute) dehydration if there is an increased HGB and/or HCT along with an
increased RBC count. A relative increase in sodium and potassium can be noted as well. Suspect a long-term (chronic)
dehydration if any of the above findings are accompanied by an increased albumin, BUN, and/or serum protein.

Tissue destruction
Potassium is an intracellular ion. An increase in tissue destruction can cause an increase in serum potassium levels as the
potassium is leached out of the damaged cells. LDH levels may also be elevated. Follow-up suspected tissue destruction with
serum protein and LDH isoenzyme electrophoresis, which can help pin point the specific tissue that is being affected.

Metabolic Acidosis
Metabolic acidosis will drive potassium out of the cell, thus causing an increase in serum potassium.","© Anemia (many types)

© Diets high in refined CHOs

© Excessive licorice consumption (herbal)
© Acute and chronic diarrhea

© Hypertension

© Familial periodic paralysis","© Respiratory distress
© Renal failure

© Renal insufficiency
© Bradycardia

© Diabetes

© Addison's disease","© Hemolyzed blood - potassium levels are elevated up to 50%
of normal with even moderate hemolysis. Making a fist ten
times with a tourniquet in place alone may result in an
increased level of 10-20%

© Excessive intake of licorice (herbal)","© Glucose administered during tolerance testing, or the
ingestion and administration of large amounts of glucose
in patients with heart disease may decrease levels by up
to 0.4 mmol/L",,,
Prealbumin,"Prealbumin, also called transthyretin, is a protein synthesized primarily by the liver. Untike albumin, which has a longer half-life
(approximately 21 days). prealbumin has a relatively short half-life of around 2 to 3 days, making it a sensitive marker for acute
changes in protein-energy status. Prealbumin functions in the transport of thyroid hormones (T4 and, to a lesser extent, T3)
and also carries retinol-binding protein (RBP) bound to vitamin A. Because of its rapid turnover, prealbumin responds quickly
to variations in nutrient intake or metabolic stress, which is why it is often used in nutritional assessments.","A decline in preatbumin levels can occur within days if a patient is not consuming adequate protein or total calories.
Conversely, levels can rebound quickly when nutritional support is improved. Other factors—like chronic illness, infection, and
inflammation—may confound the interpretation of prealbumin by increasing its breakdown or reducing its hepatic synthesis.
Being produced in the liver, prealbumin levels can drop when hepatocellular function is compromised (e.g., in cirrhosis or
severe hepatitis). Mild elevations of prealbumin alone are seldom indicative of liver disease but may merit correlation with
other liver function tests.

In nephrotic syndrome or other kidney disorders with proteinuria, prealbumin can be lost in the urine. This makes the
interpretation of low levels more complex if renal disease is also present. Conversely, in some cases of renal failure without
significant proteinuria, prealbumin might remain within normal or slightly elevated ranges, requiring context from additional
lab values (e.g., BUN/creatinine) to draw accurate conclusions.

As a negative acute-phase reactant, prealbumin levels may fall in the presence of systemic inflammation or infection.
Laboratory correlation with inflammatory markers (CRP, ESR) and clinical assessment is important to distinguish between low
levels due to malnutrition versus those due to an acute inflammatory or infectious process.

Note: Always interpret prealbumin in the context of clinical findings, dietary history, and other laboratory values (e.g., CRP.
albumin, hepatic enzymes, renal function tests). Its short half-life makes it uniquely useful for tracking rapid changes in
nutritional status, but it can also fluctuate with inflammation, renal pathology, and certain medications.",17,34,17,340,17,34,170,340,mg/dL,g/L,"Malnutrition / Protein Deficiency
Indicates insufficient intake of protein or total calories.

Hepatic Dysfunction
Liver diseases (e.g., cirrhosis, hepatitis) can impair protein synthesis, lowering prealbumin.

Chronic Illness / Inflammation
Systemic inflammatory states can reduce prealbumin production or increase its catabolism.

Renal Disease
Protein loss through the kidneys (proteinuria) may lead to lower circulating preaibumin.","Rapid Nutritional Repletion
Levels can rise quickly in response to improved dietary intake or supplementation.

Dehydration / Hemoconcentration
Reduced plasma volume can concentrate circulating proteins, including prealbumin.

Corticosteroid Therapy
Exogenous steroids may elevate prealbumin by reducing its breakdown or influencing protein metabolism.

Potential Laboratory Variations
Rarely, spurious elevations may occur due to assay interference or other transient factors.",,,,,,,
Pregnenolone - Female,"Pregnenolone is known as the master hormone of the adrenal glands. It is made from cholesterol and functions as a hormonal
intermediary. Pregnenolone is converted directly into DHEA and progesterone and is the precursor of many other hormones,
including estrogen, cortisol, testosterone, and aldosterone.","Pregnenolone is produced primarily in the adrenal glands directly from cholesterol. {t is also produced in the liver, the brain,
and in men, in the testes and in women, the ovaries.
Like many hormones, pregnenolone levels diminish with age, which can cause a decrease in the levels of the “downstream”
hormones that are synthesized in the body from pregnenolone.
Supplemental pregnenolone may help reduce fatigue and increase endurance if levels are below optimal.
Pregnenolone may have positive impacts on the brain by enhancing brain function and memory and protecting cerebral
function. It is thought that pregnenolone exerts this influence by acting as a precursor to neurosteroid hormones.",10,230,10,230,130,230,130,240,ng/dL,ng/dL,"Hormonal Imbalances

Low levels of pregnenolone are associated with a wide range of hormonal imbalances due to the possibility of a decrease in
synthesis of down-stream metabolites such as DHEA, progesterone, estrogen, and testosterone from pregnenolone. You may
want to consider pregnenolone supplementation whilst reviewing levels of these other serum hormones as supplementation
may increase downstream hormones.

Fatigue and Lack of Endurance

In patients with prolonged fatigue and lack of endurance, supplemental pregnenolone may be helpful to reduce fatigue and
increase endurance if levels are below optimal. Always consider pregnenolone supplementation in the context of other serum
hormones as supplementation may increase downstream hormones.

Optimizing Brain and Mental Function

Due to its possible role in the brain, consider pregnenolone supplementation to enhance brain and mental function if levels are
below optimal. Always consider pregnenolone supplementation in the context of other serum hormones as supplementation
may increase downstream hormones.

Adrenal Stress

Adrenal stress may cause a decreased level of pregnenolone along with a high cortisol and a low DHEA-S level.

Statin Medication

Given that pregnenolone is directly converted from cholesterol, you may see decreased levels of pregnenolone in patients
using statin drugs to lower their cholesterol levels.","Elevated levels of serum pregnenolone are associated with congenital adrenal hyperplasia and Idiopathic hirsutism, and
increased hair growth in women.","© Amenorrhea

© Ectopic pregnancy

© Ovulation failure

© Alzheimer’s disease

© Neuronal injury","© Pregnancy
© Adrenal cancer
© Ovarian cancer",Pregnenolone supplementation,Statin medication,,,
Pregnenolone - Male,"Pregnenolone is known as the master hormone of the adrenal glands. It is made from cholesterol and functions as a hormonal
intermediary. Pregnenolone is converted directly into DHEA and progesterone and is the precursor of many other hormones,
including estrogen, cortisol, testosterone, and aldosterone.","Pregnenolone is produced primarily in the adrenal glands directly from cholesterol. it is also produced in the liver, the brain,
and in men, in the testes and in women, the ovaries.
Like many hormones, pregnenolone levels diminish with age, which can cause a decrease in the levels of the “downstream”
hormones that are synthesized in the body from pregnenolone.
In men - Progesterone in men is largely made from pregnenolone in the adrenal glands of males.
Supplemental pregnenolone may help reduce fatigue and increase endurance if levels are below optimal.
Pregnenolone may have positive impacts on the brain by enhancing brain function and memory and protecting cerebral
function. It is thought that pregnenolone exerts this influence by acting as a precursor to neurosteroid hormones.",10,200,10,200,125,200,125,200,ng/dL,ng/dL,"Hormonal Imbalances
Low levels of pregnenolone are associated with a wide range of hormonal imbalances due to the possibility of a decrease in
synthesis of down-stream metabolites such as DHEA, progesterone, estrogen, and testosterone from pregnenolone. You may
want to consider pregnenolone supplementation whilst reviewing levels of these other serum hormones as supplementation
may increase downstream hormones.

Fatigue and Lack of Endurance
In patients with prolonged fatigue and lack of endurance, supplemental pregnenolone may be helpful to reduce fatigue and
increase endurance if levels are below optimal. Always consider pregnenolone supplementation in the context of other serum
hormones as supplementation may increase downstream hormones.

Optimizing Brain and Mental Function
Due to its possible role in the brain, consider pregnenolone supplementation to enhance brain and mental function if levels are
below optimal. Always consider pregnenolone supplementation in the context of other serum hormones as supplementation
may increase downstream hormones.

Adrenal Stress
Adrenal stress may cause a decreased level of pregnenolone along with a high cortisol and a low DHEA-S level.

Statin Medication
Given that pregnenolone is directly converted from cholesterol, you may see decreased levels of pregnenolone in patients
using statin drugs to lower their cholesterol levels.

Low Progesterone
Given that progesterone in males is produced primarily from pregnenolone in the adrenal glands, low pregnenolone levels may
be a contributing factor for low progesterone in males. Progesterone in males plays a calming role to the nervous system and
activates the GABA chloride channel to help the body shut down physically and mentally for sleep, rest and recovery.
Progesterone in males also acts to limit the conversion of testosterone to DHT.",Elevated levels of serum pregnenolone are associated with congenital adrenal hyperplasia,"© Amenorrhea

© Ectopic pregnancy

© Ovulation failure

© Alzheimer’s disease

© Neuronal injury","© Pregnancy
© Adrenal cancer
© Ovarian cancer",Pregnenolone supplementation,Statin medication,,,
Progesterone - Female,"Progesterone, a vital female hormone, is mainly produced by the corpus luteum in the ovary following ovulation and, to a
lesser extent, by the adrenal glands and the placenta during pregnancy. Its fundamental role is to regulate the menstrual cycle
by preparing the endometrial lining for a potential pregnancy and supporting the early stages of pregnancy. If conception
doesn't happen, a decline in progesterone leads to menstruation. For women of reproductive age, low progesterone levels can
suggest anovulation, which means no egg was released, possibly due to conditions like polycystic ovary syndrome (PCOS) or
hypothalamic amenorrhea. It may also indicate challenges like early pregnancy loss or difficulty maintaining a pregnancy, and
symptoms such as irregular cycles, severe premenstrual syndrome (PMS), or mid-cycle spotting. On the other hand, high
progesterone levels are typically seen post-ovulation or in early pregnancy. Persistently elevated levels might be linked to
issues like ovarian cysts or adrenal disorders. For postmenopausal women, a decline in progesterone is expected due to
ceased ovulation, while elevated levels are unusual and could require further exploration.","The progesterone concentration correlates with the development and regression of the corpus luteum. Whereas progesterone
is barely detectable in the follicular phase of the female cycle, a rise in the progesterone level is observed one day prior to
ovulation. Increased progesterone synthesis occurs during the luteat phase.

Progesterone brings about the conversion of the uterine mucosa into a tissue rich in glands (secretion phase), in order to
prepare for the intrauterine implantation of the fertilized ovum. During pregnancy, progesterone inhibits the contraction of the
myometrium. In the mammary gland, progesterone (together with estrogens) promotes the proliferation and secretion
disposition of the alveoli.",0,1,0,3.18,2.6,21.5,8.27,68.37,ng/mL,nmol/L,"Short Luteal Phase Syndrome
Low serum progesterone may be an indication of Short Luteal Phase Syndrome, which may indicate a disruption in a woman’s
menstrual cycle. Short Luteal Phase Syndrome can be associated with hyperestrogenism and estrogen dominance. It’s
important to remember that serum progesterone testing is a spot test, ie. you do not know what day of the cycle you're doing
the test on. As such a low progesterone test may be due to a natural low point in progesterone output or conditions such as
Short Luteal Phase Syndrome. Suspicion of Short Luteal Phase Syndrome goes up with low serum progesterone below 0.2
ng/ml or 0.64 nmol/L and elevated serum estradiol above 352 pg/ml or 1292.2 pmol/L. Our recommendation, if you see low
serum progesterone and suspect Short Luteal Phase Syndrome, is to order a full 30-day salivary hormone check for estrogens
and progesterone or a DUTCH from Precision Analytical.",Elevated levels of serum progesterone are associated with pregnancy and congenital adrenal hyperplasia.,,,,,,,
Progesterone - Male,"Progesterone is often considered to be a female hormone but men produce progesterone too. In the body, it’s converted into
testosterone and serves to oppose and balance estrogen. As men age, their progesterone levels drop, which may cause the
testosterone levels to fall.","Progesterone in the male balances and opposes unopposed estrogen. Unfortunately, as men age, the unopposed estrogen
levels tend to rise but there is no increase in progesterone so we get an imbalance in the progesterone:estrogen ratio.
Progesterone in males is produced primarily from pregnenolone in the adrenal glands, low pregnenolone levels may be a
contributing factor for low progesterone in males. Progesterone in males plays a calming role in the nervous system and
activates the GABA chloride channel to help the body shut down physically and mentally for sleep, rest and recovery. It may
be helpful to induce restful sleep.

For men, progesterone is a hormone that opposes the “feminization” effects of too much estrogen. It also is a powerful
inhibitor of 5-alpha reductase, the enzyme that converts healthy testosterone into dihydrotestosterone (DHT). Increased levels
of DHT are associated with male-pattern baldness and prostate disease.

There is some evidence that progesterone may also increase bone mass in men with osteopenia and osteoporosis.",0.2,1.3,0.64,4.13,0.38,0.9,1.21,2.86,ng/mL,nmol/L,"Estrogen Dominance
A low serum progesterone may be an indication of estrogen dominance. Suspect this if you see a low progesterone and an
increased estradiol level in your mate patients.

Low Pregnenolone
Given that progesterone in males is produced primarily from pregnenolone in the adrenal glands, low pregnenolone levels may
be a contributing factor for low progesterone in males.","Elevated levels of serum progesterone are associated with congenital adrenal hyperplasia, prediabetes, and type 2 diabetes.",,,,,,,
Prolactin - Female,"Prolactin is a peptide hormone produced in the pituitary glands of women. Prolactin’s main role is the growth and
development of the breasts and the creation of breast milk and the maintenance of lactation in women.","Prolactin is synthesized and released from lactotrophe cells in the adenohypophysis. Prolactin has two main roles:

© The growth and development of the breasts
© The creation of breast mitk and the maintenance of lactation in women

Prolactin also increases progesterone and may help sustain a pregnancy. Prolactin requires other hormones to complete these
actions and has an effect on other hormones.
Prolactin release is primarily under the control of the hypothalamus. The two hypothalamic hormones involved in prolactin
regulation are thyrotrophin releasing hormone (TRH) and dopamine. The predominant hormone in the regulation is the
inhibitory neurotransmitter dopamine. The hypothalamus receives afferent sensory nerve cell input primarily from the nipples
of lactating women.
This feedback loop increases lactation during suckling by inhibiting dopamine release and stimulating TRH release.
Prolactin is released in a diurnal rhythm with the highest levels occurring at night.",3,30,63.83,638.3,3,10,63.83,212.77,ng/mL,mIU/L,"Hypopituitarism
Low levels of prolactin are associated with a decreased hormonal output from the pituitary","Pregnancy and breastfeeding
Prolactin levels are elevated during pregnancy and breastfeeding as this hormone stimulates production and release of breast
milk.

Abnormal nipple discharge
Elevated prolactin levels in non-pregnant women may cause galactorrhea, the abnormal production of milk unrelated to the
normal breast milk production of breastfeeding.

Infertility
High prolactin can cause infertility in women. Elevated levels of prolactin decrease the levels of estrogen and progesterone and
also affect the secretion of FSH and GnRH.

Prolactinoma - Pituitary Adenoma
With greatly eleveated levels of Prolactin (likely in the 50s in US ranges or in the 20s in nmol/L) you should took for a source
and a likely one is an adenoma, or a hormone secreting, tumor in the antierior pituitary. Prolactinoma is the most common
form of benign pituitary tumor; it promotes excess production of prolactin which can stimulate milk production in nonpregnant
non-nursing females and even in males. This type of tumor can cause infertility and menstrual irregularities in women and
reduced libido and sexual function in men.

Polycystic ovary disease (PCOS)
Prolactin may be elevated in PCOS. Although a strong causative association has not been confirmed, prolactin levels should be
assessed in PCOS due to a common coexistence with hyperprolactinemia.",,"© Hypothalamic diseases

© Hypothyroidism

© Obesity

© Anorexia Nervosa

© Systemic Lupus Erythematosus",,,,"© Estrogen

© Tricyclic antidepressants

© Risperidone

© Opiates

© Amphetamines

© Hypertension drugs

© Cimetidine

© Domperidone and metoclopramide increase prolactin
levels and are utilized as galactogogues (to increase breast
milk production).","© Dopamine, Levodopa, and certain headache medications
can reduce prolactin levels"
